Cast,Effect,Description,Raid_Damage,Tank_Damage,Positioning_Required,Avoidable_AoE,Targeted_AoE,Mechanics,Debuffs
544,551,Concentrated/Scattered Burst,0,0,0,0,1,0,0
544,551,Thundering/Wicked Cannon,0,0,0,1,0,0,0
544,555,Wicked Spark/Flare,0,0,0,0,1,0,0
544,555,Wicked Cannon/Thundering,0,0,0,1,0,0,0
554,560,Wicked Special,0,0,0,1,0,0,0
563,568,Wicked Thunder,1,0,0,0,0,0,0
572,579,Aetherial Conversion,0,0,0,0,0,1,0
582,588,Flame Slash,0,0,0,1,0,0,0
591,594,Raining Swords,0,0,1,0,0,0,0
598,614,Chain Lightning Telegraphs,0,0,0,0,0,1,0
598,618,Chain Lightning Starts,0,0,0,1,0,0,0
598,634,Chain Lightning Ends,0,0,0,1,0,0,0
635,640,Tail Thrust #1,0,0,1,0,0,0,0
635,644,Tail Thrust #2,0,0,1,0,0,0,0
649,657,Mustard Bomb + Kindling Cauldron,0,1,0,0,1,0,0
649,667,Mustard Bomb,0,0,0,0,1,0,0
668,675,Aetherial Conversion,0,0,0,0,0,1,0
678,683,Azure Thunder,1,0,0,0,0,0,0
686,689,Ion Cluster,0,0,0,0,0,0,1
692,695,Sunrise Sabbath,0,0,0,0,0,1,0
705,708,Soaring Soulpress,0,0,1,0,0,0,0
705,709,Positron/Negatron Stream,0,0,0,0,1,0,0
710,716,Wicked Special,0,0,0,1,0,0,0
722,725,Soaring Soulpress,0,0,1,0,0,0,0
722,726,Positron/Negatron Stream,0,0,0,0,1,0,0
726,731,Tail Thrust #1,0,0,1,0,0,0,0
726,736,Tail Thrust #2,0,0,1,0,0,0,0
743,748,Sword Quiver,1,0,0,0,0,0,0
743,757,Burst + Laceration,0,0,0,1,1,0,0
760,765,Sword Quiver,1,0,0,0,0,0,0
760,774,Burst + Laceration,0,0,0,1,1,0,0
777,782,Sword Quiver,1,0,0,0,0,0,0
777,791,Burst + Laceration,0,0,0,1,1,0,0
800,810,Wicked Thunder Enrage,1,0,0,0,0,0,0
